精选,#genre#
4KUHDV6,http://[2409:8087:3869:8021:1001::e5]:6610/ysten-businessmobile/live/HD-20M-2160P-chunxiang4k/.m3u8
UDV6,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000202/index.m3u8?blog.ntnas.top
爱自然4KV4,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
凤凰中文V6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226248/index.m3u8
凤凰资讯V6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226274/index.m3u8
CCTV1V6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225618/index.m3u8
CCTV4V6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225621/index.m3u8
CCTV13V6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225638/index.m3u8
凤凰资讯V4,http://39.135.140.104:6610/PLTV/88888888/224/3221226274/1/index.m3u8?fmt=ts2hls
CCTV13V4,http://39.135.140.104:6610/PLTV/88888888/224/3221225638/1/index.m3u8?fmt=ts2hls
CNN,https://cnn-cnninternational-1-gb.samsung.wurl.com:443/manifest/playlist_1280x720_3000k.m3u8
CNN,http://198.16.100.90:8278/cnn_twn/playlist.m3u8?tid=ME9E1590756115907561&ct=19225&tsum=adf5db9504938a69e07bad07c9d6f7d6
Al Jazeera English,https://live-hls-v3-aje.getaj.net/AJE-V3/index.m3u8
德国DW English,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
KCTV,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
KBC SBS,http://119.200.131.11:1935/KBCTV/tv/chunklist_w1292651282.m3u8
日テレNEWS24,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
乌克兰Сварожичи,http://80.91.177.102:1935/live/live1/playlist.m3u8
伊拉克Zagros ,https://5a3ed7a72ed4b.streamlock.net/zagrostv/SMIL:myStream.smil/playlist.m3u8
伊朗Payam Javan TV,https://uni01rtmp.tulix.tv/kensecure/pjtv.stream/chunklist_w1355976606.m3u8
泰国ASTV News 1,http://news1.live14.com/stream/news1_hi.m3u8
俄罗斯(中文),https://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/mono.m3u8
沙特阿拉伯-AMayadeen,https://mdnlv.cdn.octivid.com/almdn/smil:mpegts.stream.smil/chunklist_b3000000_t64NTQwcA==.m3u8
阿联酋-Sky News Arabia,https://stream.skynewsarabia.com/hls/sna_720.m3u8?checkedby:iptvcat.com
