精选,#genre#
ABC新闻[1280*720],https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8
AIjazeera[1920*1080],http://live-hls-web-aja.getaj.net/AJA/index.m3u8
AIjazeera1280*720[1280*720],http://live-hls-web-aja.getaj.net/AJA/02.m3u8
AIjazeera[1920*1080],http://live-hls-web-aja.getaj.net/AJA/01.m3u8
FashionTV[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
FashionTV[800*453],http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
Fox新闻[1280*720],https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
RT Documentary[1920*1080],https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
RT News[1920*1080],https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
半岛新闻[1920*1080],https://live-hls-web-aje.getaj.net/AJE/01.m3u8
金砖英文[1920*1080],http://brics.bonus-tv.ru/cdn/brics/english/tracks-v1a1/index.m3u8
金砖中文[1920*1080],http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
日本全天新聞[854*480],https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
亚洲新闻[1920*1080],http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
北京纪实8K[7680*4320],http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8

江西联通V4,#genre#
CCTV1HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227034/10000100000000060000000000570885_0.smil
CCTV4HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227022/10000100000000060000000000571118_0.smil
江西卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221226961/10000100000000060000000000543478_0.smil
江西都市频道(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221226942/10000100000000060000000000525021_0.smil
江西经济生活(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227092/10000100000000060000000000610996_0.smil
江西新闻频道HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227051/10000100000000060000000000571126_0.smil
湖南卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227037/10000100000000060000000000570888_0.smil
湖北卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227049/10000100000000060000000000571124_0.smil
安徽卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227046/10000100000000060000000000571121_0.smil
浙江卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227038/10000100000000060000000000570895_0.smil
重庆卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227041/10000100000000060000000000570949_0.smil
河南卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227042/10000100000000060000000000570950_0.smil
河北卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227043/10000100000000060000000000570951_0.smil
吉林卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227045/10000100000000060000000000571120_0.smil
广东卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227047/10000100000000060000000000571122_0.smil
东南卫视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227050/10000100000000060000000000571125_0.smil
中国教育电视HD(江西联通),rtsp://118.212.169.134/PLTV/88888888/224/3221227044/10000100000000060000000000571119_0.smil
央视一套-高清,rtsp://171.35.195.54:554/PLTV/88888888/224/3221226943/10000100000000060000000000525020_0.smil
央视二套-高清,rtsp://171.35.195.55:554/PLTV/88888888/224/3221227231/10000100000000060000000000680051_0.smil
央视三套-高清,rtsp://171.35.195.58:554/PLTV/88888888/224/3221227255/10000100000000060000000000746031_0.smil
央视四套-高清,rtsp://171.35.195.54:554/PLTV/88888888/224/3221227022/10000100000000060000000000571118_0.smil
央视五套-高清,rtsp://171.35.195.58:554/PLTV/88888888/224/3221227264/10000100000000060000000000746032_0.smil
央视六套-高清,rtsp://171.35.195.58:554/PLTV/88888888/224/3221227266/10000100000000060000000000746033_0.smil
央视七套-高清,rtsp://171.35.195.55:554/PLTV/88888888/224/3221227229/10000100000000060000000000680052_0.smil
央视八套-高清,rtsp://171.35.195.58:554/PLTV/88888888/224/3221227257/10000100000000060000000000746034_0.smil
央视九套,rtsp://171.35.195.54:554/PLTV/88888888/224/3221226984/10000100000000060000000000568689_0.smil
央视十套-高清,rtsp://171.35.195.55:554/PLTV/88888888/224/3221227035/10000100000000060000000000570886_0.smil
央视十六-高清,rtsp://171.35.195.58:554/PLTV/88888888/224/3221227265/10000100000000060000000001629537_0.smil
江西卫视-高清,rtsp://171.35.195.59:554/PLTV/88888888/224/3221226961/10000100000000060000000000543478_0.smil
江西二套-高清,rtsp://171.35.195.59:554/PLTV/88888888/224/3221227290/10000100000000060000000001722654_0.smil
江西三套-高清,rtsp://171.35.195.54:554/PLTV/88888888/224/3221227092/10000100000000060000000000610996_0.smil
江西四套,rtsp://171.35.195.54:554/PLTV/88888888/224/3221226949/10000100000000060000000000527278_0.smil
江西五套,rtsp://171.35.195.55:554/PLTV/88888888/224/3221226948/10000100000000060000000000527279_0.smil
江西六套,rtsp://171.35.195.55:554/PLTV/88888888/224/3221226947/10000100000000060000000000527280_0.smil
江西七套,rtsp://171.35.195.54:554/PLTV/88888888/224/3221226945/10000100000000060000000000527282_0.smil
江西教育-高清,rtsp://171.35.195.59:554/PLTV/88888888/224/3221227283/10000100000000060000000001741171_0.smil

黑龙江移动V6,#genre#
CCTV1[1920*1080],http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV2[1280*720],http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
